,country_code,country_name,region,total_cases,total_deaths,total_vaccinations,vaccinated_1dose,fully_vacccinated,total_vaccinations_per100,percent_full_vac,first_vaccine_date,last_updated_date,stringency
1,USA,United States of America,Americas,45258928,732512,423902300,237522038,205645913,128.066,58.06,14/12/2020,22/10/2021,56.02
2,IND,India,South-East Asia,34215653,455653,986769411,699116940,287652471,71.505,21.92,16/01/2021,19/10/2021,54.17
3,BRA,Brazil,Americas,21735560,605804,254011119,153755552,109815846,119.501,54.38,17/01/2021,22/10/2021,40.28
4,GBR,The United Kingdom,Europe,8853231,139834,94800164,49422753,45261635,139.6,68.06,21/12/2020,18/10/2021,41.2
5,RUS,Russian Federation,Europe,8352601,233898,94491689,49463056,45028077,64.7,33.18,NA,13/10/2021,54.17
6,TUR,Turkey,Europe,7909111,69559,112360409,54497626,46903485,133.2,57.59,NA,13/10/2021,54.63
7,FRA,France,Europe,6911563,115168,95249797,50862471,44387326,141.5,68.01,30/12/2020,17/10/2021,66.67
8,IRN,Iran (Islamic Republic of),Eastern Mediterranean,5877456,125519,72643522,48474187,24169335,86.488,34.82,9/02/2021,17/10/2021,72.69
9,ARG,Argentina,Americas,5281585,115851,57450735,32400490,25243273,127.115,56.14,29/12/2020,22/10/2021,42.59
10,ESP,Spain,Europe,5004144,87238,70390395,37849576,32540819,148.7,79.02,30/12/2020,17/10/2021,41.2
11,COL,Colombia,Americas,4992586,127099,45200937,28866402,23916914,88.833,39.28,17/02/2021,22/10/2021,51.39
12,ITA,Italy,Europe,4747773,131904,86324861,45974785,40347396,144.7,70.83,23/12/2020,17/10/2021,71.3
13,DEU,Germany,Europe,4506415,95359,108685938,57256654,51429284,130.7,66.21,23/12/2020,17/10/2021,45.37
14,IDN,Indonesia,South-East Asia,4241809,143299,173949386,109584683,64364703,63.596,24.82,13/01/2021,19/10/2021,57.87
15,MEX,Mexico,Americas,3784448,286496,113471215,69612911,60377350,88.008,41.5,24/12/2020,22/10/2021,35.19
16,POL,Poland,Europe,2990509,76672,38252622,20472026,17622052,100.8,52.23,23/12/2020,17/10/2021,38.89
17,ZAF,South Africa,Africa,2920109,88987,21321996,14759385,11560623,35.951,18.85,17/02/2021,24/10/2021,45.37
18,UKR,Ukraine,Europe,2825733,65628,14425128,7995142,6429986,33,15.69,24/02/2021,17/10/2021,58.33
19,PHL,Philippines,Western Pacific,2765672,42077,51482063,31125861,23981240,46.981,23.22,1/03/2021,14/10/2021,74.54
20,MYS,Malaysia,Western Pacific,2442224,28576,45900724,24663184,21907522,141.818,74.05,24/02/2021,15/10/2021,59.26
21,PER,Peru,Americas,2196259,200083,32957509,18256677,14565468,99.956,44.42,9/02/2021,22/10/2021,66.67
22,NLD,Netherlands,Europe,2093606,18340,22561963,12251325,10310638,129.6,67.68,6/01/2021,17/10/2021,41.67
23,IRQ,Iraq,Eastern Mediterranean,2049240,23024,8972041,5621027,3351014,22.306,8.26,2/03/2021,24/10/2021,75.93
24,THA,Thailand,South-East Asia,1875315,18922,63727301,37684728,26042573,91.3,38.02,28/02/2021,17/10/2021,55.09
25,CZE,Czechia,Europe,1741859,30667,11907902,6128231,5779671,111.4,56.72,23/12/2020,17/10/2021,35.19
26,JPN,Japan,Western Pacific,1717367,18221,178255509,94599325,83656184,140.94,68.85,17/02/2021,14/10/2021,47.22
27,CAN,Canada,Americas,1702587,28805,57669374,29460580,27792564,152.798,74.43,14/12/2020,22/10/2021,68.06
28,CHL,Chile,Americas,1684608,37691,34970187,16265400,15123888,182.935,76.79,21/12/2020,22/10/2021,26.39
29,ROU,Romania,Europe,1602830,46015,10704774,6021494,4683280,55.4,30.11,27/01/2021,17/10/2021,55.56
30,BGD,Bangladesh,South-East Asia,1568563,27841,58801055,39168948,19632107,35.704,12.43,27/01/2021,19/10/2021,49.07
31,BEL,Belgium,Europe,1333947,25914,16761702,8652149,8109553,145.5,74.18,30/12/2020,17/10/2021,43.06
32,ISR,Israel,Europe,1325063,8063,11919798,6209522,5710276,137.7,63.1,16/12/2020,17/10/2021,56.48
33,PAK,Pakistan,Eastern Mediterranean,1269806,28392,99435107,28921619,38705284,45.015,17.82,3/02/2021,23/10/2021,26.85
34,SWE,Sweden,Europe,1168271,15002,13963719,7193876,6769843,135.2,66.55,23/12/2020,17/10/2021,19.44
35,SRB,Serbia,Europe,1111957,9624,6043997,3085630,2958367,87.3,42.36,23/12/2020,3/10/2021,40.74
36,PRT,Portugal,Europe,1086280,18141,16163698,8995240,7166225,157,85.96,23/12/2020,17/10/2021,44.44
37,KAZ,Kazakhstan,Europe,1011656,17021,14726320,7841847,6884473,78.4,39.43,7/04/2021,10/10/2021,66.2
38,CUB,Cuba,Americas,947935,8201,25081025,9764590,7173451,221.434,NA,NA,22/10/2021,65.28
39,MAR,Morocco,Eastern Mediterranean,944803,14636,46094289,23662317,21449332,124.881,57.9,28/01/2021,24/10/2021,65.74
40,VNM,Viet Nam,Western Pacific,896174,21802,59003239,41811429,17191810,60.616,21.49,8/03/2021,14/10/2021,53.24
41,CHE,Switzerland,Europe,863546,10778,10809806,5604427,5205379,124.9,63.17,23/12/2020,10/10/2021,46.3
42,HUN,Hungary,Europe,855339,30647,11372904,5869662,5503242,116.4,58.49,23/12/2020,17/10/2021,27.78
43,JOR,Jordan,Eastern Mediterranean,854758,10976,7264751,3835868,3428883,71.201,34.26,13/01/2021,20/10/2021,23.15
44,NPL,Nepal,South-East Asia,810880,11380,15048288,8562365,6485923,51.647,22.67,27/01/2021,19/10/2021,46.3
45,AUT,Austria,Europe,801518,11024,11020915,5817157,5203758,123.8,62.86,30/12/2020,17/10/2021,51.85
46,ARE,United Arab Emirates,Eastern Mediterranean,739471,2134,20921016,NA,8560000,211.528,87.97,14/12/2020,25/10/2021,39.35
47,GRC,Greece,Europe,724571,15707,12333381,6496708,5836673,115.1,59.17,23/12/2020,17/10/2021,71.76
48,TUN,Tunisia,Eastern Mediterranean,712013,25213,8702575,5411984,4205797,73.634,36.26,13/03/2021,17/10/2021,28.7
49,GEO,Georgia,Europe,703281,9873,1801601,969083,832518,45.2,24.38,17/03/2021,17/10/2021,39.81
50,LBN,Lebanon,Eastern Mediterranean,638581,8465,3426571,1839082,1583132,50.203,21.32,14/02/2021,25/10/2021,34.26
51,GTM,Guatemala,Americas,595067,14748,8193031,5127386,3065645,45.731,18.77,25/02/2021,22/10/2021,49.54
52,BLR,Belarus,Europe,590226,4546,4472001,2608819,1863182,47.3,19.68,3/02/2021,17/10/2021,19.44
53,BGR,Bulgaria,Europe,582122,23440,2621336,1450139,1171197,37.7,20.59,30/12/2020,17/10/2021,47.22
54,CRI,Costa Rica,Americas,557165,6983,6124445,3597302,2527143,120.226,50.07,24/12/2020,22/10/2021,54.63
55,SAU,Saudi Arabia,Eastern Mediterranean,548368,8782,45320587,24099527,21221060,130.18,61.62,6/01/2021,24/10/2021,55.56
56,LKA,Sri Lanka,South-East Asia,537201,13654,27603568,14785189,12818379,128.909,59.8,29/01/2021,18/10/2021,63.89
57,AZE,Azerbaijan,Europe,520068,6939,8646806,4782922,3863884,85.3,43.01,20/01/2021,10/10/2021,60.19
58,ECU,Ecuador,Americas,515659,32953,21680447,11966012,10513923,122.884,58.08,21/01/2021,22/10/2021,60.65
59,BOL,Bolivia (Plurinational State of),Americas,510470,18903,7405720,4455079,4653806,63.443,30.1,30/01/2021,22/10/2021,31.02
60,MMR,Myanmar,South-East Asia,496901,18603,15797703,11223285,4574418,29.035,8.46,27/01/2021,17/10/2021,90.74
61,PAN,Panama,Americas,471669,7310,5741258,3029679,2649359,133.061,55.46,20/01/2021,22/10/2021,72.69
62,SVK,Slovakia,Europe,465027,12957,4761628,2458720,2302908,87.2,41.98,6/01/2021,17/10/2021,34.72
63,PRY,Paraguay,Americas,460754,16232,5165112,2959491,2199261,72.416,31.22,22/02/2021,22/10/2021,38.89
64,HRV,Croatia,Europe,453936,9116,3521211,1866425,1650175,86.8,43.57,23/12/2020,17/10/2021,35.19
65,PSE,"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,452272,4651,NA,NA,NA,NA,NA,NA,NA,47.22
66,IRL,Ireland,Europe,433902,5369,7281435,3789315,3492120,146.7,75.6,30/12/2020,17/10/2021,44.44
67,KWT,Kuwait,Eastern Mediterranean,412578,2461,2668082,528841,923307,62.476,21.95,28/12/2020,14/08/2021,40.74
68,VEN,Venezuela (Bolivarian Republic of),Americas,401259,4822,16127242,9926613,6190629,56.714,21.71,22/02/2021,22/10/2021,80.56
69,LTU,Lithuania,Europe,396047,5720,3258830,1779962,1474770,116.6,58.98,23/12/2020,17/10/2021,25.93
70,URY,Uruguay,Americas,392319,6073,6528145,2754825,2610769,187.929,75.47,27/02/2021,22/10/2021,55.56
71,DNK,Denmark,Europe,379078,2703,8812768,4464715,4348053,151.4,75.66,16/12/2020,17/10/2021,24.07
72,DOM,Dominican Republic,Americas,377385,4114,12948213,6566518,5220779,119.361,48.82,16/02/2021,22/10/2021,65.74
73,HND,Honduras,Americas,374569,10202,6605470,3841202,2765018,66.691,28.37,26/02/2021,22/10/2021,82.41
74,ETH,Ethiopia,Africa,363240,6393,4293855,2157737,2136118,3.735,0.89,13/03/2021,24/10/2021,43.52
75,KOR,Republic of Korea,Western Pacific,356305,2797,72095854,40398477,33166098,140.622,NA,26/02/2021,18/10/2021,47.22
76,LBY,Libya,Eastern Mediterranean,354866,5033,1863974,1493267,370707,27.127,NA,11/04/2021,24/10/2021,44.44
77,MNG,Mongolia,Western Pacific,341560,1593,4753554,2253651,2135857,145.001,66.26,23/02/2021,15/10/2021,37.04
78,MDA,Republic of Moldova,Europe,330799,7576,1458501,862032,596469,36.2,NA,3/03/2021,17/10/2021,25.93
79,EGY,Egypt,Eastern Mediterranean,326379,18375,25083832,16744829,8339003,24.512,7.65,24/01/2021,23/10/2021,43.52
80,SVN,Slovenia,Europe,322914,5027,2074297,1139103,935194,99,53.24,23/12/2020,17/10/2021,43.52
81,OMN,Oman,Eastern Mediterranean,304205,4111,5271912,2962504,2309408,103.237,46.13,29/12/2020,10/10/2021,37.96
82,ARM,Armenia,Europe,300143,6151,620698,434617,186081,20.9,6.29,16/06/2021,17/10/2021,NA
83,BHR,Bahrain,Eastern Mediterranean,276635,1393,2741537,1173266,1137725,161.118,69.28,4/11/2020,24/10/2021,43.52
84,KEN,Kenya,Africa,252839,5263,4930336,3504400,1425936,9.169,2.69,5/03/2021,23/10/2021,38.89
85,BIH,Bosnia and Herzegovina,Europe,250165,11423,1242203,734195,508001,37.9,15.39,NA,29/09/2021,35.19
86,QAT,Qatar,Eastern Mediterranean,238742,609,4815431,2134729,1816789,167.141,78.33,23/12/2020,25/10/2021,55.56
87,NGA,Nigeria,Africa,211330,2884,8402127,5526303,2875824,4.076,NA,5/03/2021,23/10/2021,50.93
88,ZMB,Zambia,Africa,209648,3660,857551,350013,503538,4.665,2.86,14/04/2021,17/10/2021,40.74
89,LVA,Latvia,Europe,208783,3109,1737185,999234,737951,91.1,50.54,30/12/2020,17/10/2021,47.22
90,DZA,Algeria,Africa,205990,5899,11080739,6328806,4751933,25.269,9.37,30/01/2021,24/10/2021,56.48
91,NOR,Norway,Europe,202549,900,7897552,4191824,3705728,147.1,69.58,23/12/2020,17/10/2021,20.37
92,MKD,North Macedonia,Europe,200412,7072,1559974,798946,761028,74.9,36.72,17/02/2021,17/10/2021,NA
93,EST,Estonia,Europe,186530,1483,1437167,765523,671644,108.1,55.54,23/12/2020,17/10/2021,25
94,BWA,Botswana,Africa,185985,2402,744464,744460,383320,31.657,11.45,26/03/2021,21/10/2021,62.04
95,UZB,Uzbekistan,Europe,184563,1312,21244666,10973193,7047813,63.5,17.52,28/04/2021,17/10/2021,39.81
96,PRI,Puerto Rico,Americas,184222,3223,4926197,2727273,2468528,172.193,NA,NA,22/10/2021,23.15
97,ALB,Albania,Europe,182610,2888,1835736,977034,858702,63.8,30.45,13/01/2021,17/10/2021,41.67
98,KGZ,Kyrgyzstan,Europe,180865,2661,1579659,895923,683736,24.2,11.07,31/03/2021,17/10/2021,49.07
99,SGP,Singapore,Western Pacific,179095,339,9563625,4613735,4552603,163.471,82.3,30/12/2020,14/10/2021,50.93
100,AUS,Australia,Western Pacific,162016,1653,32494119,18170223,14245406,127.428,61.05,21/02/2021,16/10/2021,74.54
101,FIN,Finland,Europe,156286,1149,7909224,4186879,3722345,143.1,68.57,23/12/2020,17/10/2021,24.07
102,AFG,Afghanistan,Eastern Mediterranean,156071,7262,2925490,848601,2076889,7.515,1.13,22/02/2021,24/10/2021,35.19
103,MOZ,Mozambique,Africa,151243,1929,3799385,1973519,1825866,12.156,6.01,8/03/2021,20/10/2021,48.15
104,MNE,Montenegro,Europe,141813,2071,456156,247252,208904,72.6,38.29,24/02/2021,17/10/2021,NA
105,ZWE,Zimbabwe,Africa,132724,4674,5805179,3265655,2539524,39.058,17.41,18/02/2021,25/10/2021,47.22
106,GHA,Ghana,Africa,130008,1174,1623582,865422,758160,5.225,2.71,2/03/2021,20/09/2021,40.74
107,NAM,Namibia,Africa,128859,3550,652548,315471,247102,25.682,9.32,19/03/2021,25/10/2021,36.11
108,UGA,Uganda,Africa,125861,3204,2378171,1794105,584066,5.199,0.94,10/03/2021,11/10/2021,75.93
109,CHN,China,Western Pacific,125686,5696,2238760403,1154925547,1014622856,152.163,74.97,22/07/2020,15/10/2021,76.39
110,CYP,Cyprus,Europe,123708,570,1163412,600623,562789,131,47.29,23/12/2020,17/10/2021,40.74
111,KHM,Cambodia,Western Pacific,118000,2751,23188829,11715055,11244940,138.698,77.98,10/02/2021,15/10/2021,69.44
112,SLV,El Salvador,Americas,113422,3586,8313116,4273682,3684873,128.166,57.1,17/02/2021,22/10/2021,27.78
113,CMR,Cameroon,Africa,100289,1600,497689,411601,155738,1.875,0.58,12/04/2021,23/10/2021,44.44
114,RWA,Rwanda,Africa,99472,1321,5179627,3434690,1744937,39.99,13.96,5/03/2021,20/10/2021,57.41
115,JAM,Jamaica,Americas,88480,2184,887675,575243,399254,29.977,12.14,10/03/2021,22/10/2021,86.11
116,MDV,Maldives,South-East Asia,87186,242,745288,393718,351570,137.877,66.21,1/02/2021,17/10/2021,NA
117,LUX,Luxembourg,Europe,81124,842,776757,413682,363075,124.1,64.45,30/12/2020,17/10/2021,46.3
118,SEN,Senegal,Africa,73897,1878,1961144,1281042,879073,11.713,5.39,23/02/2021,20/10/2021,21.3
119,AGO,Angola,Africa,64033,1702,5940208,4511991,1604661,18.074,4.82,10/03/2021,24/10/2021,63.89
120,MWI,Malawi,Africa,61766,2296,1237220,909871,536108,6.467,2.8,11/03/2021,24/10/2021,37.04
122,COD,Democratic Republic of the Congo,Africa,57470,1091,147734,109579,38155,0.165,NA,19/04/2021,25/10/2021,37.96
123,TTO,Trinidad and Tobago,Americas,55798,1650,1193006,647611,609619,85.246,41.82,17/02/2021,22/10/2021,69.44
124,REU,Réunion,Africa,54668,374,NA,NA,NA,NA,NA,NA,NA,NA
125,GLP,Guadeloupe,Americas,54288,815,235017,132294,101167,58.736,NA,8/01/2021,22/10/2021,NA
126,FJI,Fiji,Western Pacific,52028,673,1136909,619734,517175,126.824,58.11,7/03/2021,15/10/2021,88.89
127,SUR,Suriname,Americas,48334,1064,436603,244966,191637,74.425,33.38,23/02/2021,22/10/2021,58.33
128,SWZ,Eswatini,Africa,46390,1242,273523,239875,232148,23.576,19.99,19/03/2021,24/10/2021,61.11
129,PYF,French Polynesia,Western Pacific,45506,635,302475,155290,147185,107.678,NA,18/01/2021,18/10/2021,NA
130,GUF,French Guiana,Americas,44347,302,153638,82598,71040,51.439,NA,13/01/2021,22/10/2021,NA
131,MDG,Madagascar,Africa,43626,963,502053,198863,303190,1.813,NA,10/05/2021,20/10/2021,46.3
132,MTQ,Martinique,Americas,43022,675,242466,127807,114659,64.612,NA,NA,22/10/2021,NA
133,SYR,Syrian Arab Republic,Eastern Mediterranean,42076,2526,963477,714300,407405,5.505,2.15,1/04/2021,12/10/2021,60.65
134,SDN,Sudan,Eastern Mediterranean,40433,2995,2111141,670873,1013673,4.815,1.36,9/03/2021,17/10/2021,13.89
135,CPV,Cabo Verde,Africa,38151,349,494079,292866,201213,88.865,NA,18/03/2021,24/10/2021,58.33
136,MLT,Malta,Europe,37591,460,802952,419832,383120,156,84.79,23/12/2020,10/10/2021,43.52
137,MRT,Mauritania,Africa,37032,792,1300831,712117,588714,27.977,13.01,26/03/2021,21/10/2021,30.56
138,LAO,Lao People's Democratic Republic,Western Pacific,37018,56,4213630,3018273,2126318,57.915,NA,25/11/2020,4/10/2021,72.22
139,GUY,Guyana,Americas,35104,897,610721,375640,235081,77.645,29.82,11/02/2021,22/10/2021,60.19
140,GAB,Gabon,Africa,34898,230,217034,122935,94099,9.751,4.23,23/03/2021,22/10/2021,51.85
141,GIN,Guinea,Africa,30642,385,2199035,1445478,753557,16.745,5.41,5/03/2021,22/10/2021,62.96
142,PNG,Papua New Guinea,Western Pacific,28487,335,254400,183856,106657,2.843,0.7,30/03/2021,14/10/2021,49.54
143,TZA,United Republic of Tanzania,Africa,26154,725,885579,885579,885579,1.483,NA,28/07/2021,13/10/2021,13.89
144,TGO,Togo,Africa,26011,242,1287154,867386,419768,15.548,5.19,10/03/2021,15/10/2021,38.89
145,BLZ,Belize,Americas,25881,476,373000,221830,186230,93.806,37.03,1/03/2021,22/10/2021,62.04
146,BEN,Benin,Africa,24749,161,252698,216527,186951,2.084,NA,29/03/2021,13/10/2021,37.04
147,HTI,Haiti,Americas,23619,662,112059,80341,32400,0.983,NA,NA,22/10/2021,64.81
148,BHS,Bahamas,Americas,22259,642,244223,136110,121111,62.105,29.43,14/03/2021,22/10/2021,51.39
149,SYC,Seychelles,Africa,22174,114,165206,81021,76188,167.983,76.6,10/01/2021,25/10/2021,62.04
150,SOM,Somalia,Eastern Mediterranean,21998,1208,647129,361937,285192,4.072,NA,16/03/2021,17/10/2021,35.19
151,LSO,Lesotho,Africa,21598,657,484921,493496,483865,22.636,NA,10/03/2021,25/10/2021,43.52
152,MYT,Mayotte,Africa,20497,182,NA,NA,NA,NA,NA,NA,NA,NA
153,BDI,Burundi,Africa,19988,14,287,287,0,0.002,NA,18/10/2021,22/10/2021,11.11
154,TLS,Timor-Leste,South-East Asia,19785,121,855619,520137,335482,64.896,NA,7/04/2021,19/10/2021,46.3
155,TJK,Tajikistan,Europe,17486,125,4631515,2592147,2039368,48.6,NA,24/03/2021,17/10/2021,29.63
156,MUS,Mauritius,Africa,17416,160,1716683,884765,831918,134.984,65.9,26/01/2021,20/10/2021,32.41
158,COG,Congo,Africa,16868,249,269914,198302,112541,4.891,NA,23/03/2021,25/10/2021,35.19
159,MLI,Mali,Africa,15880,559,429914,319087,256382,2.123,1.31,31/03/2021,22/10/2021,44.44
160,ABW,Aruba,Americas,15815,171,158600,82256,76344,148.549,NA,17/02/2021,22/10/2021,35.19
161,BRB,Barbados,Americas,15588,139,265301,146106,119195,92.319,41.08,10/02/2021,22/10/2021,67.59
162,AND,Andorra,Europe,15425,130,102692,54383,48309,132.9,61.86,20/01/2021,3/10/2021,49.07
163,BFA,Burkina Faso,Africa,14793,214,380344,348158,278016,1.82,NA,2/06/2021,24/10/2021,13.89
164,GUM,Guam,Western Pacific,14519,230,237500,129930,117562,140.72,NA,4/01/2021,14/10/2021,51.85
165,DJI,Djibouti,Eastern Mediterranean,13461,181,55882,18230,37652,5.656,NA,15/03/2021,21/10/2021,37.96
166,ISL,Iceland,Europe,13313,33,505523,281844,223679,138.8,77.02,30/12/2020,17/10/2021,41.67
167,GNQ,Equatorial Guinea,Africa,13236,163,424653,239425,185228,30.268,13.66,12/02/2021,22/10/2021,NA
168,NIC,Nicaragua,Americas,12866,208,1306694,944476,362496,19.725,5.54,2/03/2021,22/10/2021,2.78
169,BRN,Brunei Darussalam,Western Pacific,12595,53,569604,339315,224032,130.201,54.22,3/04/2021,15/10/2021,79.63
170,LCA,Saint Lucia,Americas,12433,250,88638,49802,38836,48.271,20.8,17/02/2021,22/10/2021,NA
171,SSD,South Sudan,Africa,12327,133,127200,84839,42361,1.136,0.35,6/04/2021,25/10/2021,27.78
172,CAF,Central African Republic,Africa,11518,100,385557,329627,285529,7.983,NA,19/03/2021,21/10/2021,11.11
173,JEY,Jersey,Europe,10772,80,162928,78261,74327,151.145,NA,NA,18/10/2021,NA
174,NCL,New Caledonia,Western Pacific,10687,261,312524,171401,141123,109.466,NA,20/01/2021,16/10/2021,NA
175,GMB,Gambia,Africa,9962,340,208379,228018,271719,8.623,8.68,10/03/2021,24/10/2021,33.33
176,YEM,Yemen,Eastern Mediterranean,9711,1858,356173,308025,48148,1.194,NA,20/04/2021,11/10/2021,23.15
177,IMN,Isle of Man,Europe,9327,57,131628,67353,64275,154.798,NA,NA,21/10/2021,NA
178,VIR,United States Virgin Islands,Americas,7145,80,NA,NA,NA,NA,NA,NA,NA,42.59
179,ERI,Eritrea,Africa,6798,45,NA,NA,NA,NA,NA,NA,NA,50.93
180,SLE,Sierra Leone,Africa,6397,121,396196,318380,110744,4.967,1.42,15/03/2021,18/10/2021,29.63
181,NER,Niger,Africa,6260,208,803146,479613,323533,3.318,1.37,29/03/2021,15/10/2021,25
182,GNB,Guinea-Bissau,Africa,6133,141,127936,117488,10448,6.501,NA,2/04/2021,24/10/2021,NA
183,GIB,Gibraltar,Europe,5904,98,84477,40173,39796,250.741,NA,NA,20/10/2021,NA
184,GRD,Grenada,Americas,5818,196,67959,37675,30284,60.396,25.54,15/02/2021,22/10/2021,NA
185,LBR,Liberia,Africa,5812,287,358079,NA,249861,7.08,NA,1/04/2021,22/10/2021,40.74
186,BMU,Bermuda,Americas,5625,98,89029,45291,43738,142.966,NA,11/01/2021,22/10/2021,47.22
187,NZL,New Zealand,Western Pacific,5539,28,5709471,3420900,2288571,118.399,60.33,19/02/2021,8/10/2021,81.02
188,SMR,San Marino,Europe,5534,92,47302,25084,22218,139.4,65.62,24/02/2021,17/10/2021,37.96
189,TCD,Chad,Africa,5069,174,199516,155038,44478,1.215,NA,4/06/2021,21/10/2021,22.22
190,VCT,Saint Vincent and the Grenadines,Americas,4860,63,38030,23127,14903,34.28,13.48,1/02/2021,22/10/2021,NA
191,DMA,Dominica,Americas,4659,30,50991,27412,23579,70.83,32.84,12/02/2021,22/10/2021,79.63
192,SXM,Sint Maarten,Americas,4480,75,50410,26220,24190,117.555,NA,22/02/2021,22/10/2021,NA
193,COM,Comoros,Africa,4233,147,407792,245694,162098,46.894,NA,10/04/2021,19/10/2021,NA
194,ATG,Antigua and Barbuda,Americas,4031,99,104163,55755,48408,106.366,48.7,19/02/2021,22/10/2021,NA
195,STP,Sao Tome and Principe,Africa,3705,56,103720,75837,27883,47.326,12.97,15/03/2021,15/10/2021,NA
196,LIE,Liechtenstein,Europe,3652,58,48245,24829,24124,124.513,63.45,NA,21/10/2021,28.7
197,MCO,Monaco,Europe,3399,36,49980,26672,23308,127.4,59.82,30/06/2021,16/09/2021,35.19
198,TCA,Turks and Caicos Islands,Americas,2956,23,54417,28305,26112,140.547,NA,11/01/2021,22/10/2021,NA
199,VGB,British Virgin Islands,Americas,2725,37,33527,17765,15762,110.881,NA,11/02/2021,22/10/2021,NA
200,KNA,Saint Kitts and Nevis,Americas,2637,21,49817,25763,24054,93.655,NA,22/02/2021,22/10/2021,NA
201,BTN,Bhutan,South-East Asia,2620,3,1103506,585993,517513,143.014,67.82,27/03/2021,18/10/2021,61.11
202,GGY,Guernsey,Europe,2055,22,102548,NA,NA,159.068,NA,NA,18/10/2021,NA
203,FRO,Faroe Islands,Europe,1778,2,76516,39114,37402,156.587,NA,NA,21/10/2021,13.89
204,CYM,Cayman Islands,Americas,1279,2,111027,55991,53684,168.939,NA,15/01/2021,22/10/2021,NA
205,AIA,Anguilla,Americas,859,1,18705,9548,9157,124.683,NA,5/02/2021,22/10/2021,NA
206,GRL,Greenland,Europe,772,0,77006,40104,36902,135.641,NA,NA,21/10/2021,30.09
207,WLF,Wallis and Futuna,Western Pacific,454,7,11102,5781,5321,98.72,NA,19/03/2021,15/10/2021,NA
208,MNP,Northern Mariana Islands (Commonwealth of the),Western Pacific,291,3,70330,35996,35155,122.192,NA,19/12/2020,15/10/2021,NA
209,FLK,Falkland Islands (Malvinas),Americas,69,0,4407,2632,1775,126.529,NA,NA,14/04/2021,NA
210,MSR,Montserrat,Americas,41,1,2911,1502,1409,58.232,NA,8/02/2021,22/10/2021,NA
211,SPM,Saint Pierre and Miquelon,Americas,32,0,NA,NA,NA,NA,NA,NA,NA,NA
212,VAT,Holy See,Europe,26,0,NA,NA,NA,NA,NA,NA,NA,NA
213,SLB,Solomon Islands,Western Pacific,20,0,152832,121778,31054,22.25,4.25,23/03/2021,15/10/2021,33.33
214,PLW,Palau,Western Pacific,8,0,30940,17768,15505,171.015,NA,3/01/2021,14/10/2021,NA
215,VUT,Vanuatu,Western Pacific,5,0,14955,8880,6076,4.869,NA,2/06/2021,17/10/2021,16.67
216,ASM,American Samoa,Western Pacific,4,0,63694,34565,29675,115.394,NA,21/12/2020,14/10/2021,NA
217,MHL,Marshall Islands,Western Pacific,4,0,40954,23021,20058,69.186,NA,29/12/2020,14/10/2021,NA
218,WSM,Samoa,Western Pacific,1,0,188664,115354,73310,95.086,NA,18/04/2021,13/10/2021,NA
219,COK,Cook Islands,Western Pacific,0,0,23489,12297,11192,133.734,NA,17/05/2021,11/10/2021,NA
220,PRK,Democratic People's Republic of Korea,South-East Asia,0,0,NA,NA,NA,NA,NA,NA,NA,NA
221,KIR,Kiribati,Western Pacific,0,0,65279,54026,11253,54.65,NA,26/05/2021,15/10/2021,37.5
222,FSM,Micronesia (Federated States of),Western Pacific,0,0,73747,45439,39970,64.115,NA,13/01/2021,14/10/2021,NA
223,NRU,Nauru,Western Pacific,0,0,14790,7612,7178,136.515,NA,9/04/2021,20/08/2021,NA
224,NIU,Niue,Western Pacific,0,0,2352,1202,1150,145.365,NA,8/06/2021,2/08/2021,NA
225,PCN,Pitcairn Islands,Western Pacific,0,0,74,37,37,148,NA,17/05/2021,16/09/2021,NA
226,SHN,Saint Helena,Africa,0,0,7892,4361,3531,129.995,NA,NA,5/05/2021,NA
227,TKL,Tokelau,Western Pacific,0,0,1936,968,968,143.407,NA,20/07/2021,28/09/2021,NA
228,TON,Tonga,Western Pacific,0,0,84506,51048,33458,79.953,NA,14/04/2021,18/10/2021,NA
229,TKM,Turkmenistan,Europe,0,0,7580976,4374694,3206282,125.7,NA,24/02/2021,29/08/2021,NA
230,TUV,Tuvalu,Western Pacific,0,0,10861,6209,4652,92.105,NA,13/04/2021,10/09/2021,NA
